Hey Jarvis|core:greeting
Hey dude|core:greeting
Hey|core:greeting
Hi|core:greeting
Howdy!|core:greeting
Good to see you!|core:greeting
Nice to see you!|core:greeting
Long time no see!|core:greeting
It's been awhile|core:greeting
It's nice to meet you|core:greeting
Pleased to meet you|core:greeting
Hope you've been well|core:greeting
Hope you're doing well, man.|core:greeting
Hey homie|core:greeting
I hope everything is going well dude|core:greeting
Hope life's been treating you well|core:greeting
Yo|core:greeting
Yo dude|core:greeting
Yo homie|core:greeting
Yo dawg|core:greeting
Yo buddy|core:greeting
Hey buddy|core:greeting
Hey my man|core:greeting
Hey dude!|core:greeting
hey homie!|core:greeting
hey dude|core:greeting
good to see you|core:greeting
good to see you dude|core:greeting
Hey Jarvis|core:greeting
I hope you're doing well|core:greeting
pleased to meet you|core:greeting
howdy!|core:greeting
yo|core:greeting
Long time no see|core:greeting
